ECOREG_use,VISIT_NO,median_juliandate,mean_julian,min_julian,max_julian
CPL,1,212,217.2871287128713,164,269
CPL,2,253,247.54545454545453,204,269
NAP,1,214,217.09677419354838,171,267
NAP,2,242,245.11111111111111,233,270
NPL,1,191,195.84615384615384,155,270
NPL,2,237.5,233.875,219,241
SAP,1,200,205.75,156,275
SAP,2,226,225.42857142857142,191,268
SPL,1,213,213.875,156,291
SPL,2,222.5,230.7,192,269
TPL,1,209.5,207.40579710144928,156,290
TPL,2,233,225.45454545454547,183,248
UMW,1,212,214.40689655172415,176,264
UMW,2,236.5,238.7,226,261
WMT,1,211.5,212.82236842105263,150,268
WMT,2,254.5,245.375,187,270
XER,1,200,205.2093023255814,128,276
XER,2,215.5,213.83333333333334,179,241
