SITE_ID,VISIT_NO,UID,L_ELEV_use,LATdd_use,INDEX_SITE_DEPTH,ECOREG_use,HYDRO_TYPE_f,lk_hydro_iso
NLA12_AL-101,1,6300,NA,NA,13.1,SAP,RESERVOIR,Flow_through
NLA12_AL-103,1,7292,NA,NA,6.5,SAP,RESERVOIR,Flow_through
NLA12_AL-105,1,6267,NA,NA,4.6,CPL,RESERVOIR,Restricted
NLA12_CA-179,1,6623,NA,NA,NA,NA,Unknown,NA
NLA12_FL-101,2,8062,NA,NA,3.7,CPL,DRAINAGE,Restricted
NLA12_FL-101,1,6212,NA,NA,4.4,CPL,DRAINAGE,Restricted
NLA12_FL-102,1,6222,NA,NA,3.8,CPL,DRAINAGE,Restricted
NLA12_FL-103,1,7530,NA,NA,1.2,CPL,DRAINAGE,Restricted
NLA12_FL-123,1,6218,NA,NA,17.3,CPL,SEEPAGE,Flow_through
NLA12_KS-R01,1,NA,NA,NA,NA,NA,Unknown,NA
NLA12_MI-107,2,NA,NA,NA,NA,NA,Unknown,NA
NLA12_MN-178,1,NA,NA,NA,NA,UMW,Unknown,NA
NLA12_MS-106,1,6415,NA,NA,NA,CPL,RESERVOIR,Flow_through
NLA12_ND-105,1,8156,NA,NA,12.4,TPL,SEEPAGE,Flow_through
NLA12_NV-101,2,7278,NA,NA,1,XER,RESERVOIR,Restricted
NLA12_NV-104,1,7137,NA,NA,6.2,XER,RESERVOIR,Flow_through
NLA12_OAHU12-12,1,NA,NA,NA,NA,NA,Unknown,NA
NLA12_OAHU12-12,2,NA,NA,NA,NA,NA,Unknown,NA
NLA12_OAHU12-23,2,NA,NA,NA,NA,NA,Unknown,NA
NLA12_OAHU12-23,1,NA,NA,NA,NA,NA,Unknown,NA
NLA12_SC-104,1,6320,NA,NA,1.9,SAP,SEEPAGE,Restricted
NLA12_SC-112,1,6325,NA,NA,NA,CPL,SEEPAGE,Flow_through
NLA12_SC-118,1,7862,NA,NA,4.8,CPL,Unknown,Flow_through
NLA12_TN-101,1,6393,NA,NA,3.8,SAP,RESERVOIR,Flow_through
NLA12_TN-108,1,6395,NA,NA,4,SAP,RESERVOIR,Restricted
NLA12_TX-105,1,6860,NA,NA,7.4,CPL,RESERVOIR,Flow_through
NLA12_TX-110,1,1000026,NA,NA,10.5,SPL,RESERVOIR,Flow_through
NLA12_TX-R02,1,6608,NA,NA,NA,CPL,RESERVOIR,Flow_through
NLA12_VT-103,1,7520,NA,NA,47,NAP,Unknown,Flow_through
NLA12_WY-124,2,8631,NA,NA,NA,WMT,RESERVOIR,Flow_through
NLA12_WY-124,1,7383,NA,NA,29.5,WMT,RESERVOIR,Flow_through
NLA12_WY-133,1,7631,NA,NA,15.8,WMT,DRAINAGE,Flow_through
